Category,pathway,kegg,subcategory
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K14073,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K13534,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K12298,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K01054,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K01046,Lipid metabolism
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",M00104,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K12408,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K12405,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K11992,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K10214,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K08764,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K08748,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K07431,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K01796,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K00489,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K00488,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K00251,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Bile acid biosynthesis, cholesterol => cholate [PATH:map00120]",K00037,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, archaea [PATH:map00900]",M00365,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, archaea [PATH:map00900]",K13787,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, archaea [PATH:map00900]",K01823,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]",M00364,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]",K13789,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]",K13787,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]",K01823,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900]",K00795,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes [PATH:map00900]",M00367,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes [PATH:map00900]",K01823,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes [PATH:map00900]",K00804,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, non-plant eukaryotes [PATH:map00900]",K00787,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]",M00366,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]",K14066,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]",K13789,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]",K01823,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C10-C20 isoprenoid biosynthesis, plants [PATH:map00900]",K00787,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140]",M00110,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140]",K07434,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140]",K01822,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140]",K00512,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone [PATH:map00140]",K00070,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone [PATH:map00140]",M00108,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone [PATH:map00140]",K07433,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone [PATH:map00140]",K00513,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone [PATH:map00140]",K00497,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]",M00109,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]",K15680,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]",K07433,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]",K00513,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]",K00512,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]",K00497,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone [PATH:map00140]",K00071,Sterol biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",M00095,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",K13273,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",K01823,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",K01641,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",K01597,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",K00938,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",K00869,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",K00626,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900]",K00021,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",M00096,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K12506,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K03527,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K03526,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K01823,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K01770,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K01662,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K00991,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K00919,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,"C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900]",K00099,Terpenoid backbone biosynthesis
Carbohydrate and lipid metabolism,CMP-KDO biosynthesis [PATH:map00540],M00063,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,CMP-KDO biosynthesis [PATH:map00540],K06041,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,CMP-KDO biosynthesis [PATH:map00540],K03270,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,CMP-KDO biosynthesis [PATH:map00540],K01627,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,CMP-KDO biosynthesis [PATH:map00540],K00979,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",M00371,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",K12640,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",K12639,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",K12638,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",K12637,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",K09591,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",K09590,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",K09588,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Castasterone biosynthesis, campesterol => castasterone [PATH:map00905]",K09587,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,Ceramide biosynthesis [PATH:map00600],M00094,Lipid metabolism
Carbohydrate and lipid metabolism,Ceramide biosynthesis [PATH:map00600],K04712,Lipid metabolism
Carbohydrate and lipid metabolism,Ceramide biosynthesis [PATH:map00600],K04710,Lipid metabolism
Carbohydrate and lipid metabolism,Ceramide biosynthesis [PATH:map00600],K04709,Lipid metabolism
Carbohydrate and lipid metabolism,Ceramide biosynthesis [PATH:map00600],K04708,Lipid metabolism
Carbohydrate and lipid metabolism,Ceramide biosynthesis [PATH:map00600],K00654,Lipid metabolism
Carbohydrate and lipid metabolism,Cerebroside and sulfatide biosynthesis [PATH:map00600 map00565],M00067,Lipid metabolism
Carbohydrate and lipid metabolism,Cerebroside and sulfatide biosynthesis [PATH:map00600 map00565],K04628,Lipid metabolism
Carbohydrate and lipid metabolism,Cerebroside and sulfatide biosynthesis [PATH:map00600 map00565],K01019,Lipid metabolism
Carbohydrate and lipid metabolism,Cholecalciferol biosynthesis [PATH:map00100],M00103,Sterol biosynthesis
Carbohydrate and lipid metabolism,Cholecalciferol biosynthesis [PATH:map00100],K07438,Sterol biosynthesis
Carbohydrate and lipid metabolism,Cholecalciferol biosynthesis [PATH:map00100],K07419,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",M00101,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K13373,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K09828,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K09827,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K07750,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K07748,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K05917,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K01852,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K01824,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K00227,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K00222,Sterol biosynthesis
Carbohydrate and lipid metabolism,"Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol [PATH:map00100]",K00213,Sterol biosynthesis
Carbohydrate and lipid metabolism,Chondroitin sulfate degradation [PATH:map00531],M00077,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Chondroitin sulfate degradation [PATH:map00531],K01197,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Chondroitin sulfate degradation [PATH:map00531],K01195,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Chondroitin sulfate degradation [PATH:map00531],K01135,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,Chondroitin sulfate degradation [PATH:map00531],K01132,Glycosaminoglycan metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",M00009,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K18860,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K18859,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K18118,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01903,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01902,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01900,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01899,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01682,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01681,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01679,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01678,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01677,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01676,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K01647,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00658,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00382,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00247,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00246,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00245,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00244,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00242,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00241,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00240,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00239,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00237,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00236,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00235,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00234,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00177,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00176,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00175,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00174,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00164,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00116,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00031,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00030,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00026,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00025,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle (TCA cycle, Krebs cycle) [PATH:map01200 map00020]",K00024,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map01200 map01210 map01230 map00020]",M00010,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map01200 map01210 map01230 map00020]",K01682,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map01200 map01210 map01230 map00020]",K01681,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map01200 map01210 map01230 map00020]",K01647,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map01200 map01210 map01230 map00020]",K00031,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map01200 map01210 map01230 map00020]",K00030,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",M00011,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K18860,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K18859,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K18118,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K01903,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K01902,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K01900,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K01899,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K01679,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K01678,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K01677,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K01676,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00658,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00382,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00247,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00246,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00245,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00244,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00242,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00241,Central carbohydrate metabolism
Carbohydrate and lipid metabolism,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map01200 map00020]",K00240,Central carbohydrate metabolism
